Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
aatuwa,noun,leak%,Kaaray aatuwa doommiis.,The roof began leakinig%
aatuwa,noun,serving(food or drink)%,,
aatuwa,noun,passing(exam or test)%,,
aatuwa,noun,insult%,"Haaasayaa aatoy 
laggetu giddon diya issippetetaa moorees.","An insult can break the tie between 
friends"
aatuwa,noun,leak%,Kaaray aatuwa doommiis.,The roof began leakinig%
aatuwa,noun,serving(food or drink)%,,
aatuwa,noun,passing(exam or test)%,,
aatuwa,noun,insult%,"Haaasayaa aatoy 
laggetu giddon diya issippetetaa moorees.","An insult can break the tie between 
friends
aayee aayyiyo%1. noun%"
aatuwa,noun,grandmother (maternal)%,"Nu aayee aayyiya nuussi 
miichchiya haysiya odaasu.",Our grandmother told us an amusing story.%
alamiya,noun,world; earth%,koyro alamiya olaa,the first world war%
alleequwa,noun,decoration; ornament; adornment; jewelry; jewel; luxury%,Almaazee alleeqo.,A diamond is a jewel.%
anjjuwa,noun,praise; blessing%,"Hayqquwa wodee gakkiyode aawati anjjuwa 
darotoo bantta naatussi aattoosona.","When the time of death comes, fathers 
usually pass on blessings to their children.%(syn) [ufaa]%"
anjjuwa,noun,extra; bonus%,"Maccaasiya maxiniya shammishin, bayzziyagee guutta anjjuwa immiis.","When the 
woman bought salt, the vender gave her a little extra.%(syn) [caraa , yessaa]"
anttettaa,noun,permission; consent; willingness%,"I timirttiya kaallanawu 
anttettaa demmiis.",He got permission to attend the class.%
anttettaa,noun,license%,"Taayyoo kaamiya laaggiyo anttettay baawa, shin ta kaamiya 
lagguwa danddayays.","Although I haven't a driver's license, I am able to drive 
a car."
araataa,noun,throne%,kawuwa araataa,the throne of a king%
araataa,noun,chair;,,
ashuwa,noun,meat; flesh%,"Nuuni maallado qan""iya issi kilo ashuwa xiixaa 
miida.",We ate half a kilo of roasted meat for breakfast.%
ashuwa,noun,relative%,"Ta ishaa
na'ay taayyoo asho.",My brother's son is my relative.
asttamaariya,noun,teacher; instructor; lecturer%,"Asttamaaree ba tamaareta 
shiishshi ekkiyagaa gidanawu koshshees.","A teacher has to be friendly to his 
students.%"
asttamaariya,noun,forgive; excuse%,Xoossay nu nagaraa atto giis.,God has forgiven our sins.%
asttamaariya,noun,how long%,A: Ne ay keena wodiya hagan takkadii?,"A: How 
long have you been here?%"
aymuwa,noun,dream; nightmare%,Niyo lo''o aymo gido!,Sweat dreams!%
aymuwa,noun,"wish, to wish to have%","Ta de'o layta aymoy
Asttamaarekiyanaassa.",My lifelong wish was to be a famous teacher.
uwa,noun,"backpack, an act of carrying on the back%","Qeeri naata zokkuwan
ba'iyogee daafurssiya ooso.","Carrying small children on the back is tiresome 
work.%"
uwa,noun,"burden, load (carried on the back)%","Ba'uwa wottada 
guuttaa shemppa ekka.",Put down the load and have a little rest.
baadiya,noun,soldier; army%,Baadee nu biittaa naagees.,"Soldiers guard 
our country.%"
baggaa,noun,supporter; comrade%,"Nuuni warettishin, ta laggee ta bagga.","When we were fighting, my friend was my supporter.%"
baggaa,noun,side; direction%,Yuniversttee hosppitaaliyappe haddirssa baggaara dees.,"The university is on 
the left side of the hospital.%○ Kaamee ogiyappe haddirssa baggaara laagettees.
%○ We drive cars on the left hand side of the road."
balaa,noun,"error; mistake; forgetfulness; misunderstanding; fault; defect; 
failure; shortcoming; guilt%",Eranchcha uray ba balaa ammanees.,"A wise person 
acknowledges his mistake.%"
bizza,adjective,"only child, a person who was born and brought up alone%",Ishi michcha yelettibeenna asi bizza geettees.,"An only child is a person who 
hasn't a sister or a brother.%"
bizza,adjective,outstanding%,"A 
asttamaariyassi bizza zaaruwa immaws.","She gives to the teacher outstanding 
answers."
borchchiborchcha,adjective,"rough, not smooth%","Borchchiborchcha ogee nu 
goommaa mooriis.",The rough road damaged our tires.%
care,adjective,marshy; soft; wet; muddy %,"Care biittan kaamiya 
laagganaagee meto.",It is difficult to drive on the marshy land. %
ciimma,adjective,deep %,Ciimma shaafay cora moliyara de'ees.,"The deep 
river contains a lot of fish. %"
ciimma,adjective,profound %,"Nuuni
gasttiyo wode nuuyyoo ciimma qofay de'ees.","As we mature, we have profound 
thoughts."
cora,adjective,"many, much, a lot of, a great deal of, numerous, plentiful,
abundant, innumerable, superabundant %","Gooba goshshanchchay shooqan cora qommo 
kattaa zerees.",A clever farmer sows a lot of grain in his farm. %
curqqaa,noun,rag %,Curqqay pooshettida ceega maayo.,"A rag is a piece of 
old cloth. %"
curqqaa,noun,old clothes %,"Ha curqqaa maayada asa sintti kiyanaw tana 
yeellayees.",I feel embarrassed wearing these old clothes in front of people.
dolliwaaqa,adjective,rude; obscene; oafish%,"Ne ha dolliwaaqa hanuwawu 
oyshettanawu daasa era.",You will be punished for this rude deed.%
doonaa,noun,mouth%,Doonaa hangga.,Open your mouth.%
doonaa,noun,language%,,
dumma,adjective,different; various; special; particular%,"Issi aayyiya 
yelido naa''u naatussi darotoo dumma meray de'ees.","Two children born from one 
mother often have different appearances.%"
dumma,adjective,deviant%,"A A geloosappe doommada dumma 
eeshshaa bessiyogaa doommaasu.","She started to show deviant behavior after she 
married him."
dure,adjective,rich; wealthy; prosperous; affluent%,Ubbabay diyo asi dure.,An affluent person is wealthy.%
eceriya,noun,rat %,Garawiya eceriya oykkaasu.,The cat caught the rat. %
eceriya,noun,score (points of a game) %,"Taani A 
karttaa kaassan oyddu eceriya mizaas.","I scored four points against him while 
playing card."
emeriya,noun,"back yard, rear %","Emeriya giyogee keettaappe guyen issi issi 
darkko kattati mokkiyosaa.","A back yard is an area behind a house in which some
vegetables are grown. %"
equwa,noun,"stand, an act of standing %","Issi yohuwa ammanidi ba equwa 
minttiyogee go''ees.",It is important to believe in things and take stand. %
equwa,noun,arousal; erectness %(syn) [xinddaa] %,,
equwa,noun,posture %,"Ne equwa giigissa. 
Geellatoppa.",Improve your posture. Don't slouch.
eranchcha,adjective,"knowledgeable; hearty; wise; intelligent; competent; 
fit; capable; literate;educated; outstanding; understanding %","Eranchcha uray ba
balaa ammanees.",A wise person acknowledges his mistake. %
gaachchaa,noun,"grind, an act of grinding%","Woxay badalaa gaachchaayyoo 
lo''o.",The mill is good for the maize grind.%
gaachchaa,noun,digestion%,"Kattay uluwan 
gaacettennan ixxiyo metoy hara sahuwayyoo malaata gidanaw danddayees.","Problems
with digestion can be an indicator of other medical problems.
gaddabbi oottiis%1. transitive verb%"
gaachchaa,noun,grab; snatch; seize; hold; capture; poach;,,
gassammaa,noun,"humus, mold, decay, rottenness, decomposition, the organic 
component of soil, formed by the decomposition of leaves and other plant 
material by microorganisms%",Gassammay biittaa araddissanaw lo''o.,"Humus is 
good for soil fertility.%"
geeshsha,adjective,pure; clean; neat%,"Hayyanaa, neeyyoo geeshsha haatti 
danddee?","Please, do you have pure water to drink?%(syn) [walalla, xillo, 
mulxxuxxa, hummunna, qalxxaxxa, wululla.]%"
geeshsha,adjective,holy; saint; devout%,"Woossa keettay
geeshsha soho.",A church is a holy place.%
geeshsha,adjective,"certain, without doubt",,
geniya,noun,enemy; adversary; foe; vandal%,"Tooraa kiittiyagee bari asata 
geniya teqqanaadan kiittiis.","The captain ordered his men to defend the enemy.
%"
geniya,noun,"malice; evil%
(syn) [iitaa, palaa.]%",,
geniya,noun,sabotage,,
gitatettaa,noun,"greatness (the state of being big, huge, respected etc.)%",,
gitatettaa,noun,"nobility, fame (the condition of being very well known)%","Kawo Xoonnaa 
gitatettay Toophphiyan ubbasan erettiis.","King Tona's fame spread far and wide 
in Ethiopia.%"
gitatettaa,noun,respect%,Deriyan sabetiyogaa mala gitatetti baawa.,"It is the 
greatest form of respect to be admired by people.%(syn) [bonchchuwa, saaphuwa, 
boossuwa]"
gooba,adjective,"clever; brave; adroit; smart; skillful; courageous; plucky;
valorous; audacious%",Gooba tamaaree paaciyan metoy baynnan aadhdhees.,"A 
clever student will pass the examination without any problem.%"
hanqquwa,noun,anger; rage; wrath; indignation; irritation%,"Alaafee 
naaqqido gishshawu, hanqquwan kumi uttiis.","He was filled with anger because 
his boss treated him badly.%"
harggiya,noun,"disease; sickness; illness; ache; writhe; fatigue; agony; 
sufferance; pain%",Eedisee xalee baynna hargge.,"AIDS is an incurable disease.
%"
hayttaa,noun,ear%,Nuuni nu hayttan siyoos.,We hear with our ears.%
hayttaa,noun,"leaf
%",Mittaa hayttay bone carkkoy carkkiyode qoqofettees.,"The leaves of trees 
scatter in summer when the wind blows hard."
heeraa,noun,village; vicinity; surroundings; neighborhood; locality;,,
issippetettaa,noun,unity; fellowship%,"Deriya issippetettay morkkiya olan 
xoonnees.",The unity of people will defeat an enemy in the battle.%
issippetettaa,noun,solidarity%,,
issippetettaa,noun,"cooperation
issitoo issitoo%1. adverb%",,
issippetettaa,noun,"sometimes, occasionally (rather than all the time)%",Taani issitoo issitoo sukkaaree baynna tukkiya uyays.,"I sometimes drink coffee
without sugar.%"
issippetettaa,noun,"bus station, bus stand%","Ta nena kaamiya qatuwan 
naagaas.",I waited for you at the bus station.%
kko,connctive,if%,Zaaruwa taani eriyakkonne paaccanawu tana oychchadasa.,You asked me if I knew the answer.%
kko,connctive,towards%,"Wombbaraa neekko 
shiishsha.",Pull the chair towards you.
koottaa,noun,beehive; hive%,Mattay koottan eessees.,"Bees make honey in a
beehive.%"
koottaa,noun,"barrel, big basket, big basket to store grain or other property%",Koottay kattaa qolanawu maaddees.,"A large bamboo barrel is used for storing 
grain.%"
koshshaa,noun,interest; need; want; necessity%,"Asa na'awu de'iya koshshawu
zawi baawa.",Human wants are unlimited.%
koshshaa,noun,"search%(syn) [qaagettaa, 
qaaqqaasettaa, baadettaa, tattaafuwa, qaaqqaasuwa]%",,
koshshaa,noun,"quest
kushiya kesuwa%1. noun%",,
koshshaa,noun,raise (hand)%,,
koshshaa,noun,paying credit%(syn) [kushiya zaaruwa]%,,
atettaa,noun,freedom; liberty; independence%,"Dimookiraasee de'iyo 
biittan ay asinne la'atettan haasayidi ba qofaa qonccissanawu koshshees.",Everybody should have freedom of speech in a democratic country.%
atettaa,noun,spread%,"Uunoy mishonne irxxa sohuwan keehi 
laa'ees.",Malaria spreads in wet and hot places.%
atettaa,noun,breed; reproduce%,Udunxxee oshan laa'ees.,Flies breed on dung.
laggiya,noun,friend; companion; peer; partner%,"Lagge giyogee issoy 
issuwara dosettiyagaa.",Friends are those who like each other.%
likke,adjective,correct; exact; right; fair; definite%,Hegee likke zaaro.,"That is the exact answer. %(syn) [xillo, nagari baynna, gamma, adda, suure]%"
likke,adjective,equal; alike%,"Ta aawaynne taanne geesaa likke; nu garssan qaammiyaynne 
adduqiyay ba.","My father and I are of equal height; neither of us is shorter or
taller than the other.%"
likke,adjective,"specific
loddaara (leddaara)%1. adverb%",,
likke,adjective,slowly; gradually; carefully%,"Kaamiya loddaara 
laagga, hayyanaa.","Drive the car slowly, please.%"
loosuwa,noun,"path, narrow road, secondary road%","shaafaassi miyiyara 
effiiya loosuwa",a path by the side of a river%
loosuwa,noun,method; way; procedure; etiquette%,"He gimbbiyara 
dom""ettida kaamiya kooliyo maaray mankkay ay hiillanchchawunne ixxiis.","There 
is no way for the mechanic to repair the car which crashed into the building.%"
loosuwa,noun,"discipline, controlled behavior%","Yoogata maaraa mankkaa tamaarissiyogee 
yelidaageetuppe naagettees.","Children are expected to learn discipline from 
their parents.%(syn) [shoraa, seeraa, kandduwa.]%"
loosuwa,noun,propriety; decency,,
maarotaa,noun,forgiveness; mercy%,Xoossaa maarotay nu bolla,"God's mercy 
upon us%"
maarotaa,noun,excuse%,Wogaa eriiddi kanttiya asawu maaroti baawa.,"One who 
knowingly breaks the law has no excuse.%"
maataa,noun,right%,Asa ubbaayyoo ba qaalaa dichchanawu maatay de'ees.,Every nationality has a right to develop its language.%
maataa,noun,authority; responsibility%,"Yelidaageetussi naata suure 
dichchanawu maatay de'ees.","Parents have a responsibility to bring their 
children up properly."
maayuwa,noun,clothes; garment%,Lo''iya maayuwa maayida na'iya oonee?,"Who
is the girl wearing the lovely clothes?%"
maayuwa,noun,sweet; delicious; tasty%,"Nuuni hachchi mal""o 
qumaa miida.",We ate sweet food today.%
maraa,noun,"calf, young of a cow%",Maray hayqqana hanees.,"The calf is 
about to die.%(syn) [galuwa.]%"
maraa,noun,son; child%,"Maraw, tana woosa keettaa efiya 
ogiya bessuuttee?","Son, would you show me the way to the church?%"
maraa,noun,"yam, white-
fleshed potato-like tuber whose soft root is edible
masttootiya (maskkootiya)%1. noun%",,
maraa,noun,window%,Masttootiya dooya; tana hombbees.,Open the window; I feel hot.%
maraa,noun,screen%,"Televizhzhiiniya masttootiya 
xeella.",Look at the television screen
mayne,adjective,"sterile, infertile, barren, not fertile to give birth %",Baquloy yelenna mayne mehe.,"A mule is a sterile animal that does not give 
birth.%"
meraa,noun,appearance; color%,Geeshsha maayoy meraa loyttees.,"Clean 
clothes give you a good appearance.%"
miizziyo,noun,cow%,Miizziya maaxxawus.,A cow gives us milk.%
miizziyo,noun,"know, know completely%","A paaciyan aadhdhanaagaa 
milxxi oottidi erees.","He knows completely that she will pass the exam.%(syn) 
[eriis, luxiis, tamaariis, meezetiis.]%"
miizziyo,noun,"shave, shave completely%","A na'aa 
huuphphiya milxxi oottidi meediis.","She shaved the boy's hair completely.%(syn)
[meediis.]"
miyyiya,noun,"side, parallel path, flank%",keettawu ushachcha miyyiya,"the 
right side of the house %(syn) [exaa, kaafiyagaa]%"
miyyiya,noun,"help; function; assistance; 
aid; usage; relative; supporter; flank; partner; use; benefit; advantage; merit
%",Nu heeraa asay darotoo miyyee baynna asaa maaddees.,"People in our village 
usually help a person who has no relative.%(syn) [maaduwa, amppettaa, kaafiya, 
morggiya ohettaa, zemppuwa, tuuqiya, techchaa]"
mooruwa,noun,"error; mistake; forgetfulness; misunderstanding; fault; 
defect; failure; shortcoming; guilt; damage%",Xaacee tana qachchiis; hegee bala.,The police arrested me; it was a mistake.%
nagaraa,noun,"sin; iniquity; transgression; wickedness; depravity; 
immorality; debauchery; evil; turpitude; sin%",Wuuqqiyogee nagara.,"Stealing is
a sin. %"
ooshshaa,noun,"quarrel; fight; conflict; fracas; argument; dispute; debate; 
skirmish; strife; affray; riot; disturbance; unrest; commotion; trouble%",Oosanchchatuuranne qaxaridaageetuura ooshshay de'ees.,"There is conflict 
between the workers and the employers.%"
paaciya,noun,examination; test%,"Ha paacee keehi lefa; tamaare naati 
ubbaykka tammaappe tammaa demmidosona giyogaa mala.","This test was very easy; 
almost all the students got ten out of ten.%"
paaciya,noun,temptation%,"Tana dabidaabbiya dooya dooya giya paaciya xoonana 
danddayabeykke.",I couldn't resist the temptation to open the letter.
panggaa,noun,"bandit; robber; gangster; burglar; pillager; mugger; culprit; 
vandal; gang; thief%",Panggay asa miishshaa woykko buquraa boggi ekkiyagaa.,"A 
robber is a person who snatches money or property.%"
peerettaa,noun,"tearing out, breaking (of a seal)%",,
peerettaa,noun,"hole; rip; opening; pore
%",A ba qamisiyan de'iya peerettaa sikkaasu.,"She sewed the hole in her dress.%
(syn) [xoo'iya, luhuwa, daassaa, puliya.]%"
peerettaa,noun,pride%,"A peeretta hanoy nuussi 
aybane gidenna.",His pride is not our business.
puuraa,noun,swelling%,"I xaliya ekkin, puuray wodhdhiis.","He took medicine
and the swelling reduced.%(syn) [kixaa, gilppiciicaa.]%"
